"","FIPS","GEO_ID","pop2020","pop2020_w","pct_w","pct_pov","med_inc","pct_unins","incidence","death","svi"
"247",8017,"0500000US08017",1748,1534,87.7574370709382,10.2,53977,11.7,468,210.4,0.2589
"248",8019,"0500000US08019",9397,8323,88.5708204746196,7.8,67060,9.9,353.8,104.8,0.0197
"249",8021,"0500000US08021",7461,5045,67.6182817316714,21.7,36084,10.5,268.5,128.9,0.9325
"250",8023,"0500000US08023",3499,1827,52.2149185481566,27.3,30965,11.5,260.4,95.9,0.9379
"251",8025,"0500000US08025",5922,3747,63.2725430597771,27.9,42135,6.2,293.7,146.9,0.893
"252",8027,"0500000US08027",4704,4279,90.9651360544218,12.7,53119,16.2,313.4,114,0.2433
"253",8029,"0500000US08029",31196,26117,83.7190665469932,18.3,45269,8.5,388.6,167.6,0.6866
"254",8031,"0500000US08031",715522,433946,60.647471356576,12.9,68592,9.3,408.2,141.4,0.4197
"255",8033,"0500000US08033",2326,2021,86.8873602751505,13.2,45972,5.3,268.6,112.4,0.1516
"256",8035,"0500000US08035",357978,289005,80.7326148534267,3.1,119730,2.8,391.1,113.3,0.015
"257",8037,"0500000US08037",55731,39594,71.0448403940356,8,84790,13.5,325,73.6,0.1369
"258",8039,"0500000US08039",26062,22817,87.5489218018571,4.8,99199,5.3,368.9,121.6,0
"259",8041,"0500000US08041",730395,516911,70.7714318964396,10.1,68779,7.2,415.5,141.7,0.3927
"260",8043,"0500000US08043",48939,39965,81.6628864504792,14.5,49409,6.9,407.6,146.2,0.6525
"261",8045,"0500000US08045",61685,42038,68.149469076761,8.6,75937,16,414.1,129.5,0.351
"262",8047,"0500000US08047",5808,5077,87.41391184573,4.9,76429,5.7,283.1,125,0.0022
"263",8049,"0500000US08049",15717,13772,87.6248647960807,9.5,71198,13.1,319.3,100.5,0.0987
"264",8051,"0500000US08051",16918,14652,86.6059817945384,13.4,56577,9.5,342.6,103.3,0.1392
"266",8055,"0500000US08055",6820,4997,73.2697947214076,15.8,38137,9.6,329.8,143.4,0.5955
"267",8057,"0500000US08057",1379,1199,86.9470630891951,9.6,53300,6.1,387.3,142.2,0.1137
"268",8059,"0500000US08059",582910,460764,79.0454787188417,7.1,82986,5.5,406.3,129.9,0.0627
"269",8061,"0500000US08061",1446,1290,89.2116182572614,12.1,41731,6.3,502.7,182.1,0.3188
"270",8063,"0500000US08063",7087,5649,79.7093269366446,6.1,49349,9.1,355.4,97.6,0.5153
"271",8065,"0500000US08065",7436,4996,67.1866594943518,14.6,50565,14,274.2,106.6,0.4452
"272",8067,"0500000US08067",55638,44366,79.7404651497178,9.1,68685,8.4,334.7,116.4,0.1086
"273",8069,"0500000US08069",359066,295995,82.4347055972997,11.6,71881,5.9,414.6,124.6,0.1194
"274",8071,"0500000US08071",14555,10035,68.945379594641,18.5,41817,8.5,365.4,144.7,0.8373
